news_headline,news_article,news_category,full_text,clean_text
Artificial Intelligence-generated portrait sold for record ₹3.16cr,"A portrait of 'Edmond Belamy', the first-ever portrait made by Artificial Intelligence to be sold at a major auction, sold for a record ₹3.16 crore ($432,500) at Christie's New York on Thursday. Created using an algorithm that scanned historical artwork, it depicts a fictional character. The portrait, signed with a math equation, fetched nearly 45 times its high estimate.",technology,"Artificial Intelligence-generated portrait sold for record ₹3.16cr. A portrait of 'Edmond Belamy', the first-ever portrait made by Artificial Intelligence to be sold at a major auction, sold for a record ₹3.16 crore ($432,500) at Christie's New York on Thursday. Created using an algorithm that scanned historical artwork, it depicts a fictional character. The portrait, signed with a math equation, fetched nearly 45 times its high estimate.",artificial intelligence generate portrait sell record cr portrait edmond belamy first ever portrait make artificial intelligence sell major auction sell record crore christie new york thursday create use algorithm scan historical artwork depict fictional character portrait sign math equation fetch nearly time high estimate
Bill Gates praises 'Condom King' for promoting safe sex in Thailand,"Microsoft Co-founder Bill Gates has praised activist Mechai Viravaidya, known as 'Condom King', for his efforts to encourage safe sex and family planning in Thailand. ""He made contraceptives readily available throughout the country, and even launched a chain of restaurants named Cabbages and Condoms,"" said Gates. ""When people in Thailand want a condom, they ask for a 'Mechai',"" added Gates.",technology,"Bill Gates praises 'Condom King' for promoting safe sex in Thailand. Microsoft Co-founder Bill Gates has praised activist Mechai Viravaidya, known as 'Condom King', for his efforts to encourage safe sex and family planning in Thailand. ""He made contraceptives readily available throughout the country, and even launched a chain of restaurants named Cabbages and Condoms,"" said Gates. ""When people in Thailand want a condom, they ask for a 'Mechai',"" added Gates.",bill gate praise condom king promote safe sex thailand microsoft co founder bill gate praise activist mechai viravaidya know condom king effort encourage safe sex family planning thailand make contraceptive readily available throughout country even launch chain restaurant name cabbage condom say gate people thailand want condom ask mechai add gate
"UK fines Facebook $645,000 over Cambridge Analytica scandal","The UK Information Commissioner's Office (ICO) has fined Facebook a maximum amount of around $645,000 allowed under the country's law over the Cambridge Analytica scandal. ICO said the data of around 1 million UK users had been put at risk by the social network. ""A company of its size and expertise should have known better,"" Information Commissioner Elizabeth Denham said.",technology,"UK fines Facebook $645,000 over Cambridge Analytica scandal. The UK Information Commissioner's Office (ICO) has fined Facebook a maximum amount of around $645,000 allowed under the country's law over the Cambridge Analytica scandal. ICO said the data of around 1 million UK users had been put at risk by the social network. ""A company of its size and expertise should have known better,"" Information Commissioner Elizabeth Denham said.",uk fine facebook cambridge analytica scandal uk information commissioner office ico fin facebook maximum amount around allow country law cambridge analytica scandal ico say datum around million uk user put risk social network company size expertise know good information commissioner elizabeth denham say
China successfully tests 'world's largest' cargo drone,"A Chinese company has tested the 'world's largest' cargo drone Feihong-98 (FH-98) which is said to carry a payload of 1.5 tonnes (1,500kg). The FH-98 has a maximum takeoff weight of 5.25 tonnes (5,250 kg) and maximum range of 1,200 km. Further, it is capable of reaching a flying altitude of 4.5 km and a cruising speed of 180 kmph.",technology,"China successfully tests 'world's largest' cargo drone. A Chinese company has tested the 'world's largest' cargo drone Feihong-98 (FH-98) which is said to carry a payload of 1.5 tonnes (1,500kg). The FH-98 has a maximum takeoff weight of 5.25 tonnes (5,250 kg) and maximum range of 1,200 km. Further, it is capable of reaching a flying altitude of 4.5 km and a cruising speed of 180 kmph.",china successfully test world large cargo drone chinese company test world large cargo drone feihong fh say carry payload tonne kg fh maximum takeoff weight tonne kg maximum range km capable reach flying altitude km cruising speed kmph
Singapore to test driverless electric flying taxis in 2019,"Test flights of a driverless electric flying taxi will take place in Singapore in the second half of next year, German aviation firm Volocopter has said. Resembling a helicopter, Volocopter's electric air taxis take off and land vertically and can fly two people for around 30 km. The Singapore tests follow a public demonstration in Dubai last year.",technology,"Singapore to test driverless electric flying taxis in 2019. Test flights of a driverless electric flying taxi will take place in Singapore in the second half of next year, German aviation firm Volocopter has said. Resembling a helicopter, Volocopter's electric air taxis take off and land vertically and can fly two people for around 30 km. The Singapore tests follow a public demonstration in Dubai last year.",singapore test driverless electric fly taxi test flight driverless electric fly taxi take place singapore second half next year german aviation firm volocopter say resemble helicopter volocopter electric air taxi take land vertically fly two people around km singapore test follow public demonstration dubai last year
Small flying robots that can pull 40 times their weight made,"Researchers have developed small flying robots called FlyCroTugs that can pull objects up to 40 times their weight. FlyCroTugs have been modified so they can anchor themselves to various surfaces using adhesives inspired by the feet of lizards and insects. The researchers said the FlyCroTugs' small size allows them to navigate through small spaces, making them useful for rescue purposes.",technology,"Small flying robots that can pull 40 times their weight made. Researchers have developed small flying robots called FlyCroTugs that can pull objects up to 40 times their weight. FlyCroTugs have been modified so they can anchor themselves to various surfaces using adhesives inspired by the feet of lizards and insects. The researchers said the FlyCroTugs' small size allows them to navigate through small spaces, making them useful for rescue purposes.",small fly robot pull time weight make researcher develop small fly robot call flycrotug pull object time weight flycrotug modify anchor various surface use adhesive inspire foot lizard insect researcher say flycrotug small size allow navigate small space make useful rescue purpose
"Indian team's AI finds people in videos via clothes, height","Indian researchers have created an artificial intelligence (AI) tool that can find people in videos using their description including clothing, height and gender. They used deep learning to train the AI to recognise human features called soft biometrics, using computer vision. The AI, without facial recognition technology, correctly identified 28 persons out of 41 with soft biometric attributes.",technology,"Indian team's AI finds people in videos via clothes, height. Indian researchers have created an artificial intelligence (AI) tool that can find people in videos using their description including clothing, height and gender. They used deep learning to train the AI to recognise human features called soft biometrics, using computer vision. The AI, without facial recognition technology, correctly identified 28 persons out of 41 with soft biometric attributes.",indian team ai find people video via clothe height indian researcher create artificial intelligence ai tool find people video use description include clothing height gender use deep learning train ai recognise human feature call soft biometric use computer vision ai without facial recognition technology correctly identify person soft biometric attribute
Samsung developing laptops with a foldable display,"Samsung is developing laptops with foldable displays, a company executive said at a recent event. It is collaborating with display makers to develop the foldable screens, the executive added. Earlier, Samsung's President of Mobile Communications Business, Dong Jin Koh had hinted at launching its foldable smartphone with multi-tasking capabilities later this year. ",technology,"Samsung developing laptops with a foldable display. Samsung is developing laptops with foldable displays, a company executive said at a recent event. It is collaborating with display makers to develop the foldable screens, the executive added. Earlier, Samsung's President of Mobile Communications Business, Dong Jin Koh had hinted at launching its foldable smartphone with multi-tasking capabilities later this year. ",samsung develop laptop foldable display samsung develop laptop foldable display company executive say recent event collaborate display maker develop foldable screen executive add earlier samsung president mobile communication business dong jin koh hint launch foldable smartphone multi task capability later year
90% free apps on Play Store share data with Google: Study,"Nearly 90% of free apps on the Google Play store share data with Google's parent company Alphabet, according to an Oxford research. The data, which includes age, gender, location, and information about other apps, can be used for purposes including targeted advertising or political campaigns, the research added. Google said the research mischaracterised some ""ordinary functions"" of apps.",technology,"90% free apps on Play Store share data with Google: Study. Nearly 90% of free apps on the Google Play store share data with Google's parent company Alphabet, according to an Oxford research. The data, which includes age, gender, location, and information about other apps, can be used for purposes including targeted advertising or political campaigns, the research added. Google said the research mischaracterised some ""ordinary functions"" of apps.",free app play store share datum google study nearly free app google play store share datum google parent company alphabet accord oxford research datum include age gender location information app use purpose include target advertising political campaign research add google say research mischaracteris ordinary function app
"IBM, fragrance firm Symrise create AI to make perfumes","American firm IBM's research division and Symrise, a global producer of fragrances, have created an AI system to create perfumes. Called Philyra, the system uses machine learning to sift through several formulas, raw materials and industry trends, identifying patterns and new combinations for a new perfume. Philyra designed two perfumes, which would be launched in 2019, for a beauty company. ",technology,"IBM, fragrance firm Symrise create AI to make perfumes. American firm IBM's research division and Symrise, a global producer of fragrances, have created an AI system to create perfumes. Called Philyra, the system uses machine learning to sift through several formulas, raw materials and industry trends, identifying patterns and new combinations for a new perfume. Philyra designed two perfumes, which would be launched in 2019, for a beauty company. ",ibm fragrance firm symrise create ai make perfume american firm ibms research division symrise global producer fragrance create ai system create perfume call philyra system use machine learn sift several formula raw material industry trend identify pattern new combination new perfume philyra design two perfume would launch beauty company
Facebook removed 8.7m child abuse images using AI-based tool,"Facebook on Wednesday said that it is using an AI-based software to detect and remove child nudity and child exploitative content on the platform. The tool helped the company remove 8.7 million images containing child nudity over the last quarter. It also finds accounts that engage in ""potentially inappropriate interactions with children"" on its platform, Facebook added.",technology,"Facebook removed 8.7m child abuse images using AI-based tool. Facebook on Wednesday said that it is using an AI-based software to detect and remove child nudity and child exploitative content on the platform. The tool helped the company remove 8.7 million images containing child nudity over the last quarter. It also finds accounts that engage in ""potentially inappropriate interactions with children"" on its platform, Facebook added.",facebook remove child abuse image use ai base tool facebook wednesday say use ai base software detect remove child nudity child exploitative content platform tool help company remove million image contain child nudity last quarter also find account engage potentially inappropriate interaction child platform facebook add
Twitter posts 29% increase in revenue at $758 million in Q3,"Twitter has posted a 29% year-over-year increase in revenue at $758 million in the third quarter of 2018. Advertising revenue also saw a 29% year-over-year increase to $650 million, while total ad engagements increased 50% for the same period. Twitter also revealed its monthly active users reduced to 326 million from 330 million for the same period in 2017.",technology,"Twitter posts 29% increase in revenue at $758 million in Q3. Twitter has posted a 29% year-over-year increase in revenue at $758 million in the third quarter of 2018. Advertising revenue also saw a 29% year-over-year increase to $650 million, while total ad engagements increased 50% for the same period. Twitter also revealed its monthly active users reduced to 326 million from 330 million for the same period in 2017.",twitter post increase revenue million q twitter post year year increase revenue million third quarter advertising revenue also see year year increase million total ad engagement increase period twitter also reveal monthly active user reduce million million period
Virgin unveils rocket that travels at 20 times sound's speed,"Virgin Orbit has unveiled the first pictures of its LauncherOne rocket that can travel at more than 20 times the speed of sound. Attached to Virgin's 747 aircraft Cosmic Girl that was converted to launch rockets, LauncherOne is designed to carry small satellites into orbit around the Earth. The plane will carry LauncherOne to an altitude of 30,000 feet.",technology,"Virgin unveils rocket that travels at 20 times sound's speed. Virgin Orbit has unveiled the first pictures of its LauncherOne rocket that can travel at more than 20 times the speed of sound. Attached to Virgin's 747 aircraft Cosmic Girl that was converted to launch rockets, LauncherOne is designed to carry small satellites into orbit around the Earth. The plane will carry LauncherOne to an altitude of 30,000 feet.",virgin unveil rocket travel time sound speed virgin orbit unveil first picture launcherone rocket travel time speed sound attach virgin aircraft cosmic girl convert launch rocket launcherone design carry small satellite orbit around earth plane carry launcherone altitude foot
"Google bans words like 'f**k' in documents, URLs: Report","Google has reportedly banned the use of words like 'f**k' and other references to sex acts in internal documents and URLs in the company. ""They grep all the links for swear words and just delete them,"" a software engineer at Google said. The ban comes months after Google management issued new guidelines for employees' behaviour within the company. ",technology,"Google bans words like 'f**k' in documents, URLs: Report. Google has reportedly banned the use of words like 'f**k' and other references to sex acts in internal documents and URLs in the company. ""They grep all the links for swear words and just delete them,"" a software engineer at Google said. The ban comes months after Google management issued new guidelines for employees' behaviour within the company. ",google ban word like fk document urls report google reportedly ban use word like fk reference sex act internal document url company grep link swear word delete software engineer google say ban come month google management issue new guideline employee behaviour within company
Google Maps rolls out tool to give users updates from places,"Google is rolling out a feature called 'Follow' on Google Maps to give users updates from places such as restaurants or stores that they follow. The updates will appear in the 'For you' tab on Google Maps. Businesses can also create profiles on the platform to reach out to customers before they open to the public, the company said. ",technology,"Google Maps rolls out tool to give users updates from places. Google is rolling out a feature called 'Follow' on Google Maps to give users updates from places such as restaurants or stores that they follow. The updates will appear in the 'For you' tab on Google Maps. Businesses can also create profiles on the platform to reach out to customers before they open to the public, the company said. ",google map roll tool give user update place google roll feature call follow google map give user update place restaurant store follow update appear tab google map business also create profile platform reach customer open public company say
"Dhoni not named in India's squads for T20Is against WI, Australia","India's regular wicketkeeper in the ODI and T20I formats, MS Dhoni, has not been named in squads for both the upcoming T20I series against Windies and Australia. Further, captain Virat Kohli has been rested for the three-match T20I series against Windies and will return for the T20Is against Australia. Rohit Sharma will lead India in the T20I series against Windies.",sports,"Dhoni not named in India's squads for T20Is against WI, Australia. India's regular wicketkeeper in the ODI and T20I formats, MS Dhoni, has not been named in squads for both the upcoming T20I series against Windies and Australia. Further, captain Virat Kohli has been rested for the three-match T20I series against Windies and will return for the T20Is against Australia. Rohit Sharma will lead India in the T20I series against Windies.",dhoni not name indias squad tis wi australia indias regular wicketkeeper odi ti format ms dhoni not name squad upcoming ti series windie australia captain virat kohli rest three match ti series windie return tis australia rohit sharma lead india ti series windie
Chief selector performed pitch puja before tied India-Windies ODI,"A picture of BCCI chief selector MSK Prasad performing 'pitch puja' ahead of the tied second India-Windies ODI at the Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium in Visakhapatnam has surfaced online. Overseen by a priest, Prasad and some ground staff members performed the rituals at one end of the pitch. An official criticised Prasad, calling him a 'cricket illiterate'.",sports,"Chief selector performed pitch puja before tied India-Windies ODI. A picture of BCCI chief selector MSK Prasad performing 'pitch puja' ahead of the tied second India-Windies ODI at the Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium in Visakhapatnam has surfaced online. Overseen by a priest, Prasad and some ground staff members performed the rituals at one end of the pitch. An official criticised Prasad, calling him a 'cricket illiterate'.",chief selector perform pitch puja tie india windie odi picture bcci chief selector msk prasad perform pitch puja ahead tied second india windie odi dr ys rajasekhara reddy aca vdca cricket stadium visakhapatnam surface online oversee priest prasad ground staff member perform ritual one end pitch official criticise prasad call cricket illiterate
I will dive six times in an over for my team: Virat Kohli,"Talking about diving full stretch to complete his 150th run in the second Windies ODI, Virat Kohli said, ""If I've to dive six times in an over. I'll do it for the team."" ""That's my duty and that's why I'm selected,"" Kohli added. ""You shouldn't take things for granted and never take it easy at any stage,"" he further said.",sports,"I will dive six times in an over for my team: Virat Kohli. Talking about diving full stretch to complete his 150th run in the second Windies ODI, Virat Kohli said, ""If I've to dive six times in an over. I'll do it for the team."" ""That's my duty and that's why I'm selected,"" Kohli added. ""You shouldn't take things for granted and never take it easy at any stage,"" he further said.",dive six time team virat kohli talk dive full stretch complete th run second windie odi virat kohli say dive six time team duty select kohli add not take thing grant never take easy stage say
Umpire Dar stays on ground to give decision despite heavy rain,"Umpire Aleem Dar stayed on the ground and waited to confirm a DRS decision despite heavy rain during the fifth Sri Lanka-England ODI. All the players had left the ground amid heavy downpour but Dar stood his ground and when the confirmation came, he raised his finger to declare England's Liam Plunkett out and sprinted across the boundary.",sports,"Umpire Dar stays on ground to give decision despite heavy rain. Umpire Aleem Dar stayed on the ground and waited to confirm a DRS decision despite heavy rain during the fifth Sri Lanka-England ODI. All the players had left the ground amid heavy downpour but Dar stood his ground and when the confirmation came, he raised his finger to declare England's Liam Plunkett out and sprinted across the boundary.",umpire dar stay ground give decision despite heavy rain umpire aleem dar stay ground wait confirm drs decision despite heavy rain fifth sri lanka england odi player leave ground amid heavy downpour dar stand ground confirmation come raise finger declare england liam plunkett sprint across boundary
"Runner crawls to finish line despite bleeding knees, fractured leg","Japan's 19-year-old runner Rei Iida crawled for over 200 metres after fracturing her leg to complete her stage of a marathon relay. Iida was seen crawling with her knees bleeding and her teammate was seen crying while waiting for her to reach her. The runner reportedly asked ""how many meters are left until my goal?"" when approached by an official.",sports,"Runner crawls to finish line despite bleeding knees, fractured leg. Japan's 19-year-old runner Rei Iida crawled for over 200 metres after fracturing her leg to complete her stage of a marathon relay. Iida was seen crawling with her knees bleeding and her teammate was seen crying while waiting for her to reach her. The runner reportedly asked ""how many meters are left until my goal?"" when approached by an official.",runner crawl finish line despite bleed knee fracture leg japan year old runner rei iida crawl metre fracture leg complete stage marathon relay iida see crawl knee bleed teammate see cry wait reach runner reportedly ask many meter leave goal approach official
Smith debuts on Australian young rich list despite cricket ban,"Australian cricketer Steve Smith, who is currently serving a one-year ban from cricket over the ball-tampering scandal, has made his first appearance in the Australian Financial Review (AFR) Young Rich List. With an estimated wealth of A$27 million (around ₹140 crore), the 29-year-old is placed 95th on the list of richest Australians under the age of 40.",sports,"Smith debuts on Australian young rich list despite cricket ban. Australian cricketer Steve Smith, who is currently serving a one-year ban from cricket over the ball-tampering scandal, has made his first appearance in the Australian Financial Review (AFR) Young Rich List. With an estimated wealth of A$27 million (around ₹140 crore), the 29-year-old is placed 95th on the list of richest Australians under the age of 40.",smith debut australian young rich list despite cricket ban australian cricketer steve smith currently serve one year ban cricket ball tamper scandal make first appearance australian financial review afr young rich list estimate wealth million around crore year old place th list rich australian age
Not the end of Dhoni in T20Is: Chief Selector after dropping Dhoni,"While announcing the omission of former Team India captain MS Dhoni from T20I squad for Windies and Australia series, BCCI Chief Selector MSK Prasad said they were ""looking at the second keeper's slot."" ""We'll retain Rishabh [Pant] and Dinesh Karthik. So they will get a chance to keep and bat. It's not the end of Dhoni in T20Is,"" Prasad added.",sports,"Not the end of Dhoni in T20Is: Chief Selector after dropping Dhoni. While announcing the omission of former Team India captain MS Dhoni from T20I squad for Windies and Australia series, BCCI Chief Selector MSK Prasad said they were ""looking at the second keeper's slot."" ""We'll retain Rishabh [Pant] and Dinesh Karthik. So they will get a chance to keep and bat. It's not the end of Dhoni in T20Is,"" Prasad added.",not end dhoni tis chief selector drop dhoni announce omission former team india captain ms dhoni ti squad windie australia series bcci chief selector msk prasad say look second keeper slot retain rishabh [ pant ] dinesh karthik get chance keep bat not end dhoni tis prasad add
"With 4 wins and 27 goals in 5 matches, India reach Asian CT semis ","The Indian men's hockey team defeated South Korea 4-1 in their final round-robin match on Wednesday to enter the semi-finals of the Asian Champions Trophy 2018. India won four of their five round-robin matches, scoring 27 goals and conceding just two goals. India, who are the defending champions, will face Japan in the semi-final on Saturday. ",sports,"With 4 wins and 27 goals in 5 matches, India reach Asian CT semis . The Indian men's hockey team defeated South Korea 4-1 in their final round-robin match on Wednesday to enter the semi-finals of the Asian Champions Trophy 2018. India won four of their five round-robin matches, scoring 27 goals and conceding just two goals. India, who are the defending champions, will face Japan in the semi-final on Saturday. ",win goal match india reach asian ct semis indian men hockey team defeat south korea final round robin match wednesday enter semi final asian champion trophy india win four five round robin match score goal concede two goal india defend champion face japan semi final saturday
3-member panel to probe sexual harassment claims against BCCI CEO,"The CoA has appointed a three-member committee to probe anonymous sexual harassment allegations against BCCI CEO Rahul Johri. The panel includes Justice Rakesh Sharma, ex-CBI Director PC Sharma and ex-chairperson of Delhi Commission for Women Barkha Singh. CoA member Diana Edulji and six associations wanted Johri's ouster, but CoA chairman Vinod Rai decided an independent inquiry was necessary.",sports,"3-member panel to probe sexual harassment claims against BCCI CEO. The CoA has appointed a three-member committee to probe anonymous sexual harassment allegations against BCCI CEO Rahul Johri. The panel includes Justice Rakesh Sharma, ex-CBI Director PC Sharma and ex-chairperson of Delhi Commission for Women Barkha Singh. CoA member Diana Edulji and six associations wanted Johri's ouster, but CoA chairman Vinod Rai decided an independent inquiry was necessary.",member panel probe sexual harassment claim bcci ceo coa appoint three member committee probe anonymous sexual harassment allegation bcci ceo rahul johri panel include justice rakesh sharma ex cbi director pc sharma ex chairperson delhi commission woman barkha singh coa member diana edulji six association want johris ouster coa chairman vinod rai decide independent inquiry necessary
Pitch invader shares selfie clicked by Cristiano Ronaldo for him,"A football supporter, who invaded the pitch during Juventus' Champions League match against Manchester United at Old Trafford to meet Cristiano Ronaldo, took to Instagram to share the selfie clicked by the five-time Ballon d'Or winner. Ronaldo took the selfie with the supporter's phone when the latter was surrounded by the security. ""It's a dream come true,"" the supporter wrote.",sports,"Pitch invader shares selfie clicked by Cristiano Ronaldo for him. A football supporter, who invaded the pitch during Juventus' Champions League match against Manchester United at Old Trafford to meet Cristiano Ronaldo, took to Instagram to share the selfie clicked by the five-time Ballon d'Or winner. Ronaldo took the selfie with the supporter's phone when the latter was surrounded by the security. ""It's a dream come true,"" the supporter wrote.",pitch invader share selfie click cristiano ronaldo football supporter invade pitch juventus champion league match manchester unite old trafford meet cristiano ronaldo take instagram share selfie click five time ballon dor winner ronaldo take selfie supporter phone latter surround security dream come true supporter write
